 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.630E-03 1.37E-02 9.36E-06 1.17E-02 9.49E-07 1.37E-04 2.46E-12 6.66E-03 6.26E-12 7.61E-06 2.69E-01 7.08E-02 3.721E-01
1.610E-03 1.39E-02 9.73E-06 1.08E-02 9.46E-07 1.36E-04 2.58E-12 6.43E-03 6.41E-12 7.09E-06 2.67E-01 7.25E-02 3.709E-01
1.600E-03 1.39E-02 9.93E-06 1.04E-02 9.50E-07 1.36E-04 2.65E-12 6.32E-03 6.50E-12 6.85E-06 2.66E-01 7.35E-02 3.704E-01
1.590E-03 1.40E-02 1.01E-05 9.99E-03 9.57E-07 1.36E-04 2.72E-12 6.20E-03 6.59E-12 6.67E-06 2.65E-01 7.44E-02 3.699E-01
1.580E-03 1.41E-02 1.03E-05 9.56E-03 9.70E-07 1.35E-04 2.79E-12 6.09E-03 6.71E-12 6.56E-06 2.64E-01 7.55E-02 3.697E-01
1.570E-03 1.41E-02 1.05E-05 9.13E-03 9.88E-07 1.35E-04 2.86E-12 5.98E-03 6.84E-12 6.44E-06 2.63E-01 7.66E-02 3.694E-01
1.560E-03 1.42E-02 1.08E-05 8.73E-03 1.01E-06 1.35E-04 2.94E-12 5.87E-03 6.97E-12 6.30E-06 2.63E-01 7.79E-02 3.697E-01
1.540E-03 1.44E-02 1.12E-05 8.01E-03 1.09E-06 1.35E-04 3.10E-12 5.65E-03 7.30E-12 6.15E-06 2.62E-01 8.05E-02 3.706E-01
1.520E-03 1.45E-02 1.17E-05 7.44E-03 1.19E-06 1.35E-04 3.27E-12 5.44E-03 7.71E-12 6.49E-06 2.61E-01 8.35E-02 3.717E-01
1.510E-03 1.46E-02 1.19E-05 7.24E-03 1.26E-06 1.35E-04 3.35E-12 5.34E-03 7.93E-12 6.70E-06 2.60E-01 8.51E-02 3.726E-01
1.500E-03 1.46E-02 1.21E-05 7.07E-03 1.32E-06 1.35E-04 3.45E-12 5.25E-03 8.18E-12 6.75E-06 2.60E-01 8.69E-02 3.737E-01
1.450E-03 1.49E-02 1.35E-05 6.74E-03 1.72E-06 1.35E-04 3.96E-12 4.84E-03 9.90E-12 8.62E-06 2.61E-01 9.88E-02 3.864E-01
1.440E-03 1.50E-02 1.38E-05 6.74E-03 1.81E-06 1.36E-04 4.07E-12 4.77E-03 1.03E-11 9.56E-06 2.62E-01 1.01E-01 3.900E-01
1.430E-03 1.50E-02 1.42E-05 6.73E-03 1.89E-06 1.36E-04 4.19E-12 4.75E-03 1.09E-11 1.04E-05 2.64E-01 1.05E-01 3.951E-01
1.420E-03 1.51E-02 1.45E-05 6.72E-03 1.98E-06 1.36E-04 4.31E-12 4.73E-03 1.15E-11 1.08E-05 2.66E-01 1.08E-01 4.002E-01
1.400E-03 1.52E-02 1.52E-05 6.73E-03 2.17E-06 1.37E-04 4.56E-12 4.77E-03 1.27E-11 1.18E-05 2.71E-01 1.15E-01 4.126E-01
1.380E-03 1.54E-02 1.59E-05 6.73E-03 2.38E-06 1.38E-04 4.84E-12 4.90E-03 1.42E-11 1.50E-05 2.78E-01 1.22E-01 4.266E-01
1.370E-03 1.55E-02 1.63E-05 6.75E-03 2.49E-06 1.39E-04 4.98E-12 5.03E-03 1.50E-11 1.79E-05 2.82E-01 1.25E-01 4.343E-01
1.360E-03 1.56E-02 1.67E-05 6.75E-03 2.61E-06 1.39E-04 5.13E-12 5.19E-03 1.59E-11 2.08E-05 2.86E-01 1.28E-01 4.423E-01
1.350E-03 1.57E-02 1.71E-05 6.78E-03 2.73E-06 1.40E-04 5.29E-12 5.33E-03 1.68E-11 2.23E-05 2.91E-01 1.32E-01 4.502E-01
1.340E-03 1.58E-02 1.76E-05 6.80E-03 2.87E-06 1.41E-04 5.45E-12 5.52E-03 1.76E-11 2.42E-05 2.95E-01 1.34E-01 4.577E-01
1.330E-03 1.59E-02 1.80E-05 6.84E-03 3.01E-06 1.41E-04 5.62E-12 5.71E-03 1.85E-11 2.81E-05 3.00E-01 1.37E-01 4.650E-01
1.320E-03 1.60E-02 1.84E-05 6.89E-03 3.16E-06 1.42E-04 5.79E-12 5.91E-03 1.95E-11 3.48E-05 3.04E-01 1.39E-01 4.723E-01
1.310E-03 1.61E-02 1.88E-05 6.95E-03 3.32E-06 1.43E-04 5.98E-12 6.12E-03 2.05E-11 4.57E-05 3.08E-01 1.41E-01 4.791E-01
1.290E-03 1.62E-02 1.96E-05 7.11E-03 3.67E-06 1.44E-04 6.36E-12 6.57E-03 2.26E-11 9.46E-05 3.17E-01 1.46E-01 4.927E-01
1.280E-03 1.62E-02 2.01E-05 7.20E-03 3.86E-06 1.45E-04 6.56E-12 6.85E-03 2.37E-11 1.39E-04 3.21E-01 1.48E-01 4.997E-01
1.270E-03 1.63E-02 2.07E-05 7.26E-03 4.06E-06 1.46E-04 6.77E-12 7.12E-03 2.49E-11 1.68E-04 3.26E-01 1.50E-01 5.068E-01
1.260E-03 1.63E-02 2.12E-05 7.35E-03 4.30E-06 1.47E-04 7.00E-12 7.41E-03 2.60E-11 1.45E-04 3.30E-01 1.52E-01 5.132E-01
1.250E-03 1.64E-02 2.17E-05 7.50E-03 4.56E-06 1.48E-04 7.22E-12 7.71E-03 2.72E-11 1.07E-04 3.34E-01 1.53E-01 5.193E-01
1.220E-03 1.67E-02 2.37E-05 8.52E-03 5.65E-06 1.51E-04 7.97E-12 8.65E-03 3.12E-11 8.33E-05 3.47E-01 1.57E-01 5.388E-01
1.210E-03 1.68E-02 2.43E-05 9.31E-03 6.08E-06 1.53E-04 8.24E-12 9.02E-03 3.27E-11 9.60E-05 3.51E-01 1.58E-01 5.450E-01
1.200E-03 1.69E-02 2.49E-05 1.03E-02 6.50E-06 1.54E-04 8.53E-12 9.41E-03 3.42E-11 1.06E-04 3.55E-01 1.59E-01 5.515E-01
1.190E-03 1.70E-02 2.57E-05 1.13E-02 6.87E-06 1.55E-04 8.82E-12 9.82E-03 3.58E-11 1.06E-04 3.60E-01 1.60E-01 5.583E-01
1.180E-03 1.71E-02 2.64E-05 1.24E-02 7.19E-06 1.56E-04 9.14E-12 1.02E-02 3.73E-11 1.05E-04 3.63E-01 1.60E-01 5.638E-01
1.170E-03 1.72E-02 2.71E-05 1.34E-02 7.46E-06 1.57E-04 9.47E-12 1.07E-02 3.89E-11 1.17E-04 3.67E-01 1.61E-01 5.692E-01
1.160E-03 1.74E-02 2.79E-05 1.43E-02 7.68E-06 1.59E-04 9.86E-12 1.11E-02 4.05E-11 1.51E-04 3.70E-01 1.61E-01 5.740E-01
1.150E-03 1.74E-02 2.85E-05 1.51E-02 7.88E-06 2.24E-04 9.75E-12 1.15E-02 4.21E-11 2.21E-04 3.73E-01 1.61E-01 5.785E-01
1.140E-03 1.75E-02 2.93E-05 1.57E-02 8.06E-06 1.66E-04 1.04E-11 1.20E-02 4.40E-11 3.32E-04 3.76E-01 1.61E-01 5.830E-01
1.130E-03 1.75E-02 3.01E-05 1.63E-02 8.24E-06 1.66E-04 1.08E-11 1.24E-02 4.60E-11 4.06E-04 3.79E-01 1.61E-01 5.878E-01
1.120E-03 1.76E-02 3.09E-05 1.69E-02 8.42E-06 1.67E-04 1.12E-11 1.30E-02 4.80E-11 3.27E-04 3.82E-01 1.61E-01 5.918E-01
1.110E-03 1.76E-02 3.18E-05 1.74E-02 8.62E-06 1.68E-04 1.16E-11 1.35E-02 5.01E-11 2.07E-04 3.85E-01 1.61E-01 5.957E-01
1.090E-03 1.78E-02 3.38E-05 1.85E-02 9.01E-06 1.72E-04 1.25E-11 1.47E-02 5.44E-11 8.58E-05 3.91E-01 1.61E-01 6.029E-01
1.050E-03 1.82E-02 3.85E-05 2.04E-02 9.70E-06 1.80E-04 1.46E-11 1.77E-02 6.46E-11 2.80E-05 4.01E-01 1.57E-01 6.150E-01
1.000E-03 1.89E-02 4.54E-05 2.23E-02 1.03E-05 1.92E-04 1.77E-11 2.05E-02 6.92E-11 1.37E-05 3.99E-01 1.45E-01 6.058E-01
9.800E-04 1.92E-02 4.87E-05 2.27E-02 1.02E-05 1.97E-04 1.92E-11 2.15E-02 7.12E-11 1.18E-05 3.97E-01 1.41E-01 6.016E-01
